BCCmagmom_arithmetic_average,NdUnfilled_arithmetic_average,num_electron,NdUnfilled_composition_average,heusler type_0,AtomicRadii_min_value,BCCmagmom_composition_average,GSmagmom_composition_average,Group_composition_average,Column_composition_average,heusler type_2,NUnfilled_composition_average,MendeleevNumber_composition_average,phi_composition_average,GSenergy_pa_max_value,GSenergy_pa_min_value,ElectronAffinity_composition_average,n_ws^third_composition_average,Electronegativity_composition_average,valence_composition_average,ICSDVolume_min_value,GSenergy_pa_composition_average,BCCenergy_pa_composition_average,Polarizability_composition_average,phi_difference
0.0,5.333333333333334,16,5.75,1.0,1.321,0.0,1.5875e-06,6.5,6.5,0.0,7.0,44.0,3.9875,-8.93926069,-8.93926069,40.775,1.485,1.5575,4.0,13.8,-6.977364397499999,-6.9251999175,12.35,1.0
0.0,5.333333333333334,16,5.75,1.0,1.321,0.0,1.5875e-06,6.5,6.5,0.0,7.0,44.25,3.9625,-8.93926069,-8.93926069,36.775,1.465,1.6075,4.0,13.8,-6.794072443125,-6.757250825,12.68,1.0
0.0,5.333333333333334,16,5.75,1.0,1.321,0.0,1.5875e-06,6.5,6.5,0.0,7.0,44.5,3.9125,-8.93926069,-8.93926069,36.775,1.43,1.6,4.0,13.8,-6.7077091075,-6.676129415,13.0625,1.0
0.0,5.333333333333334,17,5.75,1.0,1.32,0.0,1.5875e-06,6.75,6.75,0.0,6.75,45.25,4.1125,-8.93926069,-8.93926069,62.925,1.5125,1.63,4.25,13.8,-7.39723811875,-7.2381557325,12.0325,1.4500000000000002
0.0,5.333333333333334,17,5.75,1.0,1.321,0.0,1.5875e-06,6.75,6.75,0.0,6.75,45.5,4.075,-8.93926069,-8.93926069,59.525,1.48,1.6575,4.25,13.8,-7.195018503749999,-7.0822443575,12.11,1.2999999999999998
0.0,5.333333333333334,17,5.75,1.0,1.321,0.0,1.5875e-06,6.75,6.75,0.0,6.75,45.75,3.975,-8.93926069,-8.93926069,59.775,1.4475,1.645,4.25,13.8,-7.03127039,-6.986384495,12.415,1.0
0.0,5.333333333333334,18,5.75,1.0,1.28,0.0,1.5875e-06,7.0,7.0,0.0,6.5,46.5,4.325,-8.93926069,-8.93926069,47.45,1.5499999999999998,1.7025,4.5,13.8,-7.391135878125,-7.183412185,11.5575,2.3
0.0,5.333333333333334,18,5.75,1.0,1.321,0.0,1.5875e-06,7.0,7.0,0.0,6.5,46.75,4.1375,-8.93926069,-8.93926069,48.775,1.4975,1.7000000000000002,4.5,13.8,-7.203730896249999,-7.0663941325,11.7275,1.5499999999999998
0.0,5.333333333333334,18,5.75,1.0,1.321,0.0,1.5875e-06,7.0,7.0,0.0,6.5,47.0,4.0375,-8.93926069,-8.93926069,54.775,1.4525,1.6675,4.5,13.8,-7.070349202499999,-6.9851319175,12.3,1.1500000000000004
0.0,5.0,17,5.5,1.0,1.321,0.0,5.633333333325e-06,6.75,6.75,0.0,6.75,52.0,4.125,-8.93926069,-8.93926069,41.25,1.5475,1.6025,4.25,13.8,-7.349792904999998,-7.297494154999999,11.55,0.4500000000000002
0.0,5.0,17,5.5,1.0,1.321,0.0,5.633333333325e-06,6.75,6.75,0.0,6.75,52.25,4.1,-8.93926069,-8.93926069,37.25,1.5275,1.6525,4.25,13.8,-7.166500950625,-7.129545062499999,11.88,0.4500000000000002
0.0,5.0,17,5.5,1.0,1.321,0.0,5.633333333325e-06,6.75,6.75,0.0,6.75,52.5,4.05,-8.93926069,-8.93926069,37.25,1.4925,1.645,4.25,13.8,-7.080137615,-7.0484236525,12.2625,0.4500000000000002
0.0,5.0,18,5.5,1.0,1.32,0.0,5.633333333325e-06,7.0,7.0,0.0,6.5,53.25,4.25,-8.93926069,-8.93926069,63.4,1.575,1.6749999999999998,4.5,13.8,-7.76966662625,-7.610449969999999,11.2325,0.9000000000000004
0.0,5.0,18,5.5,1.0,1.321,0.0,5.633333333325e-06,7.0,7.0,0.0,6.5,53.5,4.2125,-8.93926069,-8.93926069,60.0,1.5425,1.7025,4.5,13.8,-7.56744701125,-7.454538594999999,11.31,0.75
0.0,5.0,18,5.5,1.0,1.321,0.0,5.633333333325e-06,7.0,7.0,0.0,6.5,53.75,4.112500000000002,-8.93926069,-8.93926069,60.25,1.51,1.69,4.5,13.8,-7.4036988975,-7.3586787325,11.615,0.4500000000000002
0.0,5.0,19,5.5,1.0,1.28,0.0,5.633333333325e-06,7.25,7.25,0.0,6.25,54.5,4.4625,-8.93926069,-8.93926069,47.925,1.6124999999999998,1.7475,4.75,13.8,-7.763564385625,-7.555706422499999,10.7575,1.75
0.0,5.0,19,5.5,1.0,1.321,0.0,5.633333333325e-06,7.25,7.25,0.0,6.25,54.75,4.275,-8.93926069,-8.93926069,49.25,1.56,1.745,4.75,13.8,-7.576159403749998,-7.438688369999999,10.9275,1.0
0.0,5.0,19,5.5,1.0,1.321,0.0,5.633333333325e-06,7.25,7.25,0.0,6.25,55.0,4.175000000000002,-8.93926069,-8.93926069,55.25,1.515,1.7125,4.75,13.8,-7.44277771,-7.357426154999999,11.5,0.6000000000000005
0.0,3.5,18,5.25,1.0,1.321,0.0,0.0,7.0,7.0,0.0,6.5,52.75,4.2375,-8.93926069,-8.93926069,48.75,1.5775,1.625,4.5,13.8,-7.640801297499999,-7.6169923,11.0,0.049999999999999815
0.0,3.5,18,5.25,1.0,1.321,0.0,0.0,7.0,7.0,0.0,6.5,53.0,4.2125,-8.93926069,-8.93926069,44.75,1.5575,1.6749999999999998,4.5,13.8,-7.457509343125,-7.4490432075,11.33,0.15000000000000036
0.0,3.5,18,5.25,1.0,1.321,0.0,0.0,7.0,7.0,0.0,6.5,53.25,4.1625,-8.93926069,-8.93926069,44.75,1.5225,1.6675,4.5,13.8,-7.3711460075,-7.3679217975,11.7125,0.3500000000000001
0.0,3.5,19,5.25,1.0,1.32,0.0,0.0,7.25,7.25,0.0,6.25,54.0,4.3625,-8.93926069,-8.93926069,70.9,1.605,1.6974999999999998,4.75,13.8,-8.06067501875,-7.929948115,10.6825,0.4500000000000002
0.0,3.5,19,5.25,1.0,1.321,0.0,0.0,7.25,7.25,0.0,6.25,54.25,4.325,-8.93926069,-8.93926069,67.5,1.5725,1.725,4.75,13.8,-7.85845540375,-7.77403674,10.760000000000002,0.2999999999999998
0.0,3.5,19,5.25,1.0,1.321,0.0,0.0,7.25,7.25,0.0,6.25,54.5,4.225,-8.93926069,-8.93926069,67.75,1.54,1.7125,4.75,13.8,-7.69470729,-7.6781768775,11.065,0.09999999999999963
0.0,3.5,20,5.25,1.0,1.28,0.0,0.0,7.5,7.5,0.0,6.0,55.25,4.575,-8.93926069,-8.93926069,55.425,1.6425,1.77,5.0,13.8,-8.054572778125,-7.8752045675,10.2075,1.2999999999999998
0.0,3.5,20,5.25,1.0,1.321,0.0,0.0,7.5,7.5,0.0,6.0,55.5,4.3875,-8.93926069,-8.93926069,56.75,1.59,1.7675,5.0,13.8,-7.867167796249999,-7.758186515,10.3775,0.5499999999999998
0.0,3.5,20,5.25,1.0,1.321,0.0,0.0,7.5,7.5,0.0,6.0,55.75,4.2875,-8.93926069,-8.93926069,62.75,1.545,1.735,5.0,13.8,-7.7337861025,-7.6769243000000005,10.95,0.15000000000000036
0.0,4.0,19,4.75,1.0,1.249,0.0,0.0,7.25,7.25,0.0,6.25,53.5,4.3375,-8.93926069,-8.93926069,52.25,1.6,1.6325,4.75,12.0,-7.782415259999999,-7.7583790225,10.8,0.4500000000000002
0.0,4.0,19,4.75,1.0,1.249,0.0,0.0,7.25,7.25,0.0,6.25,53.75,4.3125,-8.93926069,-8.93926069,48.25,1.58,1.6825,4.75,12.0,-7.599123305625,-7.59042993,11.13,0.5500000000000007
0.0,4.0,19,4.75,1.0,1.249,0.0,0.0,7.25,7.25,0.0,6.25,54.0,4.2625,-8.93926069,-8.93926069,48.25,1.545,1.675,4.75,12.0,-7.5127599699999985,-7.50930852,11.5125,0.7500000000000004
0.0,4.0,20,4.75,1.0,1.249,0.0,0.0,7.5,7.5,0.0,6.0,54.75,4.4625,-8.93926069,-8.93926069,74.4,1.6275,1.705,5.0,12.0,-8.20228898125,-8.0713348375,10.4825,0.4500000000000002
0.0,4.0,20,4.75,1.0,1.249,0.0,0.0,7.5,7.5,0.0,6.0,55.0,4.425,-8.93926069,-8.93926069,71.0,1.595,1.7325,5.0,12.0,-8.000069366249999,-7.9154234625,10.56,0.4000000000000004
0.0,4.0,20,4.75,1.0,1.249,0.0,0.0,7.5,7.5,0.0,6.0,55.25,4.325,-8.93926069,-8.93926069,71.25,1.5625,1.72,5.0,12.0,-7.836321252499999,-7.8195635999999995,10.865,0.5
0.0,4.0,21,4.75,1.0,1.249,0.0,0.0,7.75,7.75,0.0,5.75,56.0,4.675,-8.93926069,-8.93926069,58.925,1.665,1.7775,5.25,12.0,-8.196186740624999,-8.016591290000001,10.0075,1.2999999999999998
0.0,4.0,21,4.75,1.0,1.249,0.0,0.0,7.75,7.75,0.0,5.75,56.25,4.4875,-8.93926069,-8.93926069,60.25,1.6124999999999998,1.775,5.25,12.0,-8.008781758749999,-7.8995732375,10.1775,0.5499999999999998
0.0,4.0,21,4.75,1.0,1.249,0.0,0.0,7.75,7.75,0.0,5.75,56.5,4.3875,-8.93926069,-8.93926069,66.25,1.5675,1.7425,5.25,12.0,-7.875400064999999,-7.8183110225,10.75,0.4000000000000004
0.2728576333333333,4.0,20,4.75,1.0,1.24,0.204643225,7.753017241375e-05,7.5,7.5,0.0,6.0,54.25,4.2875,-8.93926069,-8.93926069,36.25,1.5699999999999998,1.605,5.0,12.2,-7.661127437585,-7.5997798175,10.25,0.25
0.2728576333333333,4.0,20,4.75,1.0,1.24,0.204643225,7.753017241375e-05,7.5,7.5,0.0,6.0,54.5,4.262499999999998,-8.93926069,-8.93926069,32.25,1.5499999999999998,1.6549999999999998,5.0,12.2,-7.477835483210001,-7.431830725,10.58,0.3500000000000005
0.2728576333333333,4.0,20,4.75,1.0,1.24,0.204643225,7.753017241375e-05,7.5,7.5,0.0,6.0,54.75,4.2125,-8.93926069,-8.93926069,32.25,1.515,1.6475,5.0,12.2,-7.391472147585,-7.350709315,10.9625,0.5500000000000003
0.2728576333333333,4.0,21,4.75,1.0,1.24,0.204643225,7.753017241375e-05,7.75,7.75,0.0,5.75,55.5,4.4125,-8.93926069,-8.93926069,58.4,1.5975,1.6774999999999998,5.25,12.2,-8.081001158834999,-7.9127356325,9.9325,0.4500000000000002
0.2728576333333333,4.0,21,4.75,1.0,1.24,0.204643225,7.753017241375e-05,7.75,7.75,0.0,5.75,55.75,4.375,-8.93926069,-8.93926069,55.0,1.565,1.7049999999999998,5.25,12.2,-7.878781543835,-7.7568242575,10.010000000000002,0.2999999999999998
0.2728576333333333,4.0,21,4.75,1.0,1.24,0.204643225,7.753017241375e-05,7.75,7.75,0.0,5.75,56.0,4.275,-8.93926069,-8.93926069,55.25,1.5325,1.6925,5.25,12.2,-7.715033430085,-7.6609643950000015,10.315,0.2999999999999998
0.2728576333333333,4.0,22,4.75,1.0,1.24,0.204643225,7.753017241375e-05,8.0,8.0,0.0,5.5,56.75,4.625,-8.93926069,-8.93926069,42.925,1.6349999999999998,1.75,5.5,12.2,-8.074898918210001,-7.857992085,9.4575,1.2999999999999998
0.2728576333333333,4.0,22,4.75,1.0,1.24,0.204643225,7.753017241375e-05,8.0,8.0,0.0,5.5,57.0,4.4375,-8.93926069,-8.93926069,44.25,1.5825,1.7475,5.5,12.2,-7.887493936335,-7.7409740325,9.6275,0.5499999999999998
0.2728576333333333,4.0,22,4.75,1.0,1.24,0.204643225,7.753017241375e-05,8.0,8.0,0.0,5.5,57.25,4.3375,-8.93926069,-8.93926069,50.25,1.5375,1.715,5.5,12.2,-7.754112242585,-7.6597118175,10.2,0.20000000000000015
0.7035542666666667,3.666666666666667,21,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,7.75,7.75,0.0,5.75,55.0,4.4075,-8.93926069,-8.93926069,42.25,1.61,1.675,4.75,11.7,-7.477357215,-7.4535482175,10.0,0.7299999999999995
0.7035542666666667,3.666666666666667,21,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,7.75,7.75,0.0,5.75,55.25,4.3825,-8.93926069,-8.93926069,38.25,1.59,1.725,4.75,11.7,-7.294065260625,-7.285599125,10.33,0.8300000000000001
0.7035542666666667,3.666666666666667,21,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,7.75,7.75,0.0,5.75,55.5,4.3325,-8.93926069,-8.93926069,38.25,1.555,1.7175,4.75,11.7,-7.207701925,-7.204477715,10.7125,1.0299999999999998
0.7035542666666667,3.666666666666667,22,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,8.0,8.0,0.0,5.5,56.25,4.5325,-8.93926069,-8.93926069,64.4,1.6375,1.7475,5.0,11.7,-7.8972309362500015,-7.7665040325,9.6825,0.6799999999999997
0.7035542666666667,3.666666666666667,22,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,8.0,8.0,0.0,5.5,56.5,4.495,-8.93926069,-8.93926069,61.0,1.605,1.775,5.0,11.7,-7.69501132125,-7.6105926575,9.760000000000002,0.6799999999999997
0.7035542666666667,3.666666666666667,22,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,8.0,8.0,0.0,5.5,56.75,4.395,-8.93926069,-8.93926069,61.25,1.5725,1.7625,5.0,11.7,-7.5312632075,-7.514732795,10.065,0.7799999999999994
0.7035542666666667,3.666666666666667,23,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,8.25,8.25,0.0,5.25,57.5,4.745,-8.93926069,-8.93926069,48.925,1.6749999999999998,1.82,5.25,11.7,-7.891128695625,-7.711760485,9.2075,1.2999999999999998
0.7035542666666667,3.666666666666667,23,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,8.25,8.25,0.0,5.25,57.75,4.5575,-8.93926069,-8.93926069,50.25,1.6225,1.8175,5.25,11.7,-7.70372371375,-7.5947424325,9.3775,0.6799999999999997
0.7035542666666667,3.666666666666667,23,4.5,1.0,1.2409999999999999,0.5276656999999999,0.5276656999999999,8.25,8.25,0.0,5.25,58.0,4.4575,-8.93926069,-8.93926069,56.25,1.5775,1.785,5.25,11.7,-7.57034202,-7.5134802175,9.95,0.6799999999999997
0.5613457333333333,3.333333333333333,22,4.25,1.0,1.253,0.4210093,0.3871178,8.0,8.0,0.0,5.5,55.75,4.45,-8.93926069,-8.93926069,53.75,1.6049999999999998,1.6875,4.0,11.1,-7.17608341125,-7.12719877,9.775,0.8999999999999995
0.5613457333333333,3.333333333333333,22,4.25,1.0,1.253,0.4210093,0.3871178,8.0,8.0,0.0,5.5,56.0,4.425,-8.93926069,-8.93926069,49.75,1.585,1.7374999999999998,4.0,11.1,-6.9927914568750005,-6.9592496775,10.105,1.0
0.5613457333333333,3.333333333333333,22,4.25,1.0,1.253,0.4210093,0.3871178,8.0,8.0,0.0,5.5,56.25,4.375,-8.93926069,-8.93926069,49.75,1.5499999999999998,1.73,4.0,11.1,-6.90642812125,-6.8781282675,10.4875,1.1999999999999995
